Date,Open,High,Low,Close,Adj Close,Volume
2011-05-02,2.0125,2.075,2.0125,2.05625,0.79109,70000800.0
2011-05-03,2.0625,2.08625,2.025,2.0375,0.783877,8417600.0
2011-05-04,2.04,2.06,2.04,2.06,0.792533,9800800.0
2011-05-05,2.05125,2.05125,2.04,2.0475,0.787724,8774400.0
2011-05-06,2.04375,2.0475,2.0,2.0325,0.781953,9668000.0
2011-05-09,2.02625,2.03125,2.005,2.0125,0.774259,166920.0
2011-05-10,,,,,,
2011-05-11,2.03125,2.0625,2.03125,2.05,0.788686,1560000.0
2011-05-12,2.0275,2.0525,2.025,2.0525,0.7896479999999999,1840000.0
2011-05-13,2.05,2.05,2.03,2.04375,0.786281,1761600.0
2011-05-16,,,,,,
2011-05-17,2.0125,2.01875,2.0025,2.0125,0.774259,1383200.0
2011-05-18,2.00625,2.01625,1.97125,1.975,0.759831,5565600.0
2011-05-19,1.975,1.9975,1.97,1.97875,0.761274,3540800.0
2011-05-20,1.97625,1.99875,1.93875,1.9925,0.766564,2629600.0
2011-05-23,1.97,1.985,1.94375,1.985,0.763679,2188000.0
2011-05-24,1.99375,2.0,1.93875,1.95875,0.75358,8384800.0
2011-05-25,1.95625,1.95625,1.89875,1.9,0.7309770000000001,4642400.0
2011-05-26,1.8975,1.96875,1.8975,1.96625,0.7564649999999999,2953600.0
2011-05-27,1.94875,1.9875,1.94,1.975,0.759831,4157600.0
2011-05-30,1.95,1.9975,1.95,1.99375,0.767045,1165600.0
2011-05-31,2.0,2.0,1.95625,2.0,0.76945,8995200.0
2011-06-01,1.98375,2.03375,1.9725,2.025,0.779068,3515200.0
2011-06-02,2.0,2.0625,2.0,2.05,0.788686,3466400.0
2011-06-03,2.025,2.0875,2.025,2.0875,0.803113,3242400.0
2011-06-06,2.07125,2.1025,2.0575,2.0875,0.803113,2610400.0
2011-06-07,2.075,2.09625,2.0525,2.08625,0.802632,4740000.0
2011-06-08,2.08375,2.085,2.05375,2.0725,0.797342,2618400.0
2011-06-09,2.06375,2.15875,2.0625,2.1375,0.822349,9032000.0
2011-06-10,2.11875,2.14375,2.0775,2.14375,0.8247540000000001,3711200.0
2011-06-13,2.14375,2.22,2.1375,2.1625,0.831967,6592000.0
2011-06-14,2.175,2.19375,2.08375,2.14,0.823311,4934400.0
2011-06-15,2.1375,2.1375,2.09,2.11125,0.81225,3844800.0
2011-06-16,2.0625,2.10875,1.99875,2.1,0.807922,4799200.0
2011-06-17,2.0875,2.0925,2.00625,2.0625,0.793495,1897600.0
2011-06-20,2.04125,2.05,2.00375,2.025,0.779068,1918400.0
2011-06-21,2.0125,2.085,2.01125,2.075,0.798304,1490400.0
2011-06-22,2.045,2.085,2.03,2.03125,0.781472,2606400.0
2011-06-24,2.0475,2.07875,2.01375,2.025,0.779068,1504000.0
2011-06-27,2.05875,2.05875,1.9775,2.0,0.76945,2351200.0
2011-06-28,2.00125,2.03,1.99125,2.03,0.780991,2516800.0
2011-06-29,2.025,2.0525,2.01,2.0525,0.7896479999999999,2362400.0
2011-06-30,2.0325,2.04625,2.0,2.03125,0.781472,4256800.0
2011-07-01,2.03625,2.0375,1.9875,2.025,0.779068,4833600.0
2011-07-04,2.0175,2.05,2.0025,2.05,0.788686,2015200.0
2011-07-05,2.0625,2.10875,2.05625,2.09625,0.806479,10213600.0
2011-07-06,2.095,2.0975,2.075,2.0875,0.803113,3848000.0
2011-07-07,2.0925,2.1125,2.05,2.05,0.788686,2742400.0
2011-07-08,2.04875,2.05,2.00125,2.0375,0.783877,4269600.0
2011-07-11,2.0125,2.035,1.93875,1.94375,0.7478090000000001,4514400.0
2011-07-12,1.945,2.0,1.90625,1.99375,0.767045,3434400.0
2011-07-13,1.99625,1.9975,1.91875,1.96875,0.7574270000000001,3833600.0
2011-07-14,1.94375,1.9625,1.875,1.875,0.721359,3104800.0
2011-07-15,1.88875,1.895,1.7925,1.8125,0.697314,3096000.0
2011-07-18,1.82125,1.8225,1.73125,1.73375,0.667017,3294400.0
2011-07-19,1.74875,1.86,1.73625,1.85,0.711741,4928000.0
2011-07-20,1.86125,1.87875,1.78875,1.78875,0.688176,2344000.0
2011-07-21,1.81125,1.81875,1.76125,1.7925,0.689619,2219200.0
2011-07-22,1.795,1.8625,1.78875,1.8625,0.71655,3148800.0
2011-07-25,1.79375,1.9125,1.79375,1.81625,0.698756,27376.0
2011-07-26,1.84375,1.93,1.825,1.93,0.7425189999999999,3090400.0
2011-07-27,1.9125,1.9125,1.82,1.8675,0.7184729999999999,2778400.0
2011-07-28,1.8725,1.875,1.76875,1.76875,0.6804819999999999,5564800.0
2011-07-29,1.78125,1.78125,1.705,1.71875,0.661246,15672.0
2011-08-01,1.75,1.78125,1.685,1.74875,0.672787,2098400.0
2011-08-02,1.74875,1.7675,1.7175,1.7475,0.6723060000000001,2347200.0
2011-08-03,1.73125,1.755,1.585,1.68125,0.6468189999999999,4224000.0
2011-08-04,1.625,1.625,1.52875,1.5375,0.591514,3557600.0
2011-08-05,1.5,1.56875,1.38875,1.48,0.569393,5480000.0
2011-08-08,1.325,1.415,1.325,1.375,0.528996,3220000.0
2011-08-09,1.37875,1.42875,1.30375,1.4,0.538615,7212000.0
